,1,2,3,4,5,6,7,8,9,10,11,12
$A_{1}$,0.2337,0.256,0.1782,0.1325,0.0491,0.0538,0.0256,0.0517,0.0152,0.0042,0.0,0.0
$A_{2}$,0.2142,0.3479,0.224,0.1197,0.0443,0.0414,0.0085,0.0,0.0,0.0,0.0,0.0
$A_{3}$,0.0001,0.0086,0.0231,0.0735,0.284,0.1442,0.153,0.1418,0.1617,0.01,0.0,0.0
$A_{4}$,0.1179,0.0668,0.0765,0.1358,0.1727,0.2295,0.0734,0.0344,0.029,0.0337,0.0303,0.0
$A_{5}$,0.0005,0.0123,0.0142,0.0192,0.0837,0.1053,0.2551,0.1459,0.1257,0.2167,0.0214,0.0
$A_{6}$,0.0,0.0005,0.01,0.0554,0.0283,0.0352,0.1292,0.1092,0.1502,0.1736,0.1261,0.1823
$A_{7}$,0.0,0.0,0.0003,0.0013,0.0053,0.0284,0.0305,0.0344,0.0876,0.0796,0.0953,0.6373
$A_{8}$,0.0,0.0011,0.0013,0.0047,0.0604,0.0442,0.0586,0.138,0.0836,0.1198,0.4485,0.0398
$A_{9}$,0.3837,0.106,0.2773,0.0416,0.0294,0.0279,0.0219,0.0183,0.0679,0.026,0.0,0.0
$A_{10}$,0.0091,0.0426,0.0771,0.0685,0.0812,0.16,0.0936,0.0743,0.1497,0.1365,0.0959,0.0115
$A_{11}$,0.0,0.1023,0.0785,0.295,0.0734,0.0484,0.0633,0.0915,0.0223,0.0793,0.1041,0.0419
$A_{12}$,0.0408,0.0559,0.0395,0.0528,0.0882,0.0817,0.0873,0.1605,0.1071,0.1206,0.0784,0.0872
