,$C_{1}$,$C_{2}$,$C_{3}$,$C_{4}$,$C_{5}$,$C_{6}$,$C_{7}$,$C_{8}$,$C_{9}$,$C_{10}$,$C_{11}$
$A_{1}$,0.08314541116217193,0.06732337851042722,0.163124341091033,0.12473891538499973,0.12533625919073427,0.07578091487608274,0.07380346206752605,0.07693173862223437,0.05726401129892143,0.05356180111382128,0.09898976668204808
$A_{2}$,0.11899559836575406,0.08587318282409973,0.07742641289614251,0.12536490184403873,0.05945549284983626,0.08092159558799765,0.08050775274715082,0.07930525705586884,0.06929638464245592,0.11166347050698248,0.11118995067967295
$A_{3}$,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
$A_{4}$,0.04194077663836585,0.0811933369770726,0.06582687307435246,0.05580567565087341,0.06662850259101681,0.08734410146528339,0.09803039495297143,0.08349779533038307,0.08444645861501995,0.20998498096111826,0.12530110374354284
$A_{5}$,0.06738068906253193,0.25795800127906554,0.05170253502726446,0.04380964149528675,0.09050317868497205,0.06032675628309818,0.04383906154538433,0.07394196632540809,0.05238657399711348,0.2401911403117427,0.017960455988132444
$A_{6}$,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
$A_{7}$,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
$A_{8}$,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
$A_{9}$,0.09737169801848444,0.11797906494442409,0.06676434015495243,0.06281715733990394,0.10405630690072716,0.10107749264036014,0.0985572664620193,0.10165736107255817,0.13417569886371045,0.05607052161328555,0.05947309198957434
$A_{10}$,0.0607538335959947,0.036682632056894524,0.032219108839600025,0.14859039077979608,0.03622167709616117,0.09052650391697158,0.09606456259228198,0.08788742696877573,0.07935130047456096,0.23217156363543462,0.09953100004352863
$A_{11}$,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
$A_{12}$,0.08064433547243582,0.037226137786290456,0.04202688386893201,0.04697441541840972,0.04792264109780737,0.14614811883471351,0.1616314189181082,0.13179141914855733,0.03780779800832578,0.16651434531945936,0.10131248612696056
